Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,high real,Lucro,Valor Previsto,Valor Real,Diferença
(Periodo atual: 3),,1006.6025356920109,,27688.66,6.602535692010861,27824.586809270826,27530.35,294.2368092708275
Compra (0),27252.99,0.0,0.03693548985604922,27539.0,,,,
(Periodo atual: 3),,1015.9106484906338,,27707.52,15.910648490633776,27554.64909160443,27505.0,49.649091604431305
Compra (0),27526.1,0.0,0.03690717713336193,27560.0,,,,
(Periodo atual: 3),,1019.5755311799768,,27706.58,19.575531179976792,27604.28690523068,27625.4,-21.113094769320014
Compra (0),27670.0,0.0,0.03684768815251091,27683.59,,,,
(Periodo atual: 3),,1030.0767538265611,,28010.0,30.076753826561117,27734.529064971586,27954.99,-220.4609350284154
Compra (0),27941.12,0.0,0.03686597938187736,28044.86,,,,
(Periodo atual: 3),,1029.98975011522,,27938.76,29.989750115219977,28078.820695302154,27938.76,140.0606953021561
Compra (0),27877.74,0.0,0.0369466732280027,27941.17,,,,
(Periodo atual: 3),,1034.1141072476619,,28005.68,34.11410724766188,27964.044378706625,27989.37,-25.325621293373842
Compra (0),27958.52,0.0,0.03698744093920787,27989.37,,,,
(Periodo atual: 3),,1032.6371987309594,,27981.7,32.637198730959426,28021.915333786572,27918.59,103.32533378657172
Compra (0),27904.12,0.0,0.037006621198982785,27918.71,,,,
(Periodo atual: 3),,1033.3617883740355,,28032.19,33.36178837403554,27956.820873110024,27923.7,33.12087311002324
Compra (0),27952.36,0.0,0.03696867772073755,27977.44,,,,
(Periodo atual: 3),,1035.0190941962562,,28017.55,35.01909419625622,28022.667767408097,27997.19,25.47776740809786
Compra (0),27977.6,0.0,0.036994563300506704,28000.0,,,,
(Periodo atual: 3),,1039.7617972113812,,28295.0,39.761797211381236,28028.404579428676,28105.8,-77.39542057132348
Compra (0),28042.37,0.0,0.03707824257405424,28176.44,,,,
(Periodo atual: 3),,1039.2482635517308,,28041.51,39.248263551730815,28192.71302389644,28028.52,164.1930238964378
Compra (0),27971.25,0.0,0.03715415877201522,28075.0,,,,
(Periodo atual: 3),,1037.6030774013059,,27942.9,37.60307740130588,28089.65328193536,27926.97,162.68328193535854
Compra (0),27931.09,0.0,0.037148678315142944,27947.86,,,,
(Periodo atual: 3),,1037.0629356186037,,27923.41,37.06293561860366,27975.637332227685,27916.55,59.08733222768569
